customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Allison Hill,donaldgarcia@example.net,Uganda,2020-03-03,Basic,568.99
2,Leslie Johnson,robinsonwilliam@example.org,Monaco,2023-08-09,Standard,687.82
3,Matthew Gardner,shaneramirez@example.org,Senegal,2022-05-07,Basic,243.04
4,Melissa Peterson,jasongallagher@example.org,Bermuda,2020-03-07,Standard,555.7
5,Ian Cooper,lindsay78@example.org,Uzbekistan,2021-10-28,Premium,14700.52
6,Juan Calderon,barbara10@example.net,Denmark,2021-12-24,Basic,144.86
7,Victoria Wyatt,jamesshawn@example.com,Central African Republic,2022-09-28,Basic,580.09
8,Daniel Adams,lynchgeorge@example.net,Ecuador,2021-08-05,Basic,407.35
9,James Mayo,gabriellecameron@example.org,Denmark,2020-02-09,Premium,2844.51
10,Renee Morales,clarksherri@example.net,Germany,2020-03-21,Standard,2812.22
11,Jonathan Wilkerson,ithomas@example.org,Samoa,2024-07-13,Standard,1941.77
12,Deborah Richards,icox@example.net,Lithuania,2020-07-07,Basic,633.86
13,Anthony Rodriguez,laurahenderson@example.org,Hungary,2022-06-04,Standard,2202.73
14,Zachary Rice,frazierdanny@example.net,Sao Tome and Principe,2021-04-29,Basic,135.92
15,Martin Rodriguez,amoore@example.net,Turkey,2024-09-09,Standard,1004.28
16,Valerie Gill,harrellkenneth@example.net,Madagascar,2021-06-04,Standard,2989.66
17,Brittany Farmer,georgetracy@example.org,Vanuatu,2022-12-11,Standard,474.7
18,William Roman,brianhumphrey@example.org,Belize,2021-01-27,Premium,13922.53
19,Rose Spence,davidalvarez@example.net,Chad,2020-11-19,Basic,703.42
20,Shane Henderson,sarahcampos@example.net,Cook Islands,2020-10-22,Standard,1986.32
21,Jennifer Powers,samuel87@example.org,Egypt,2022-09-03,Basic,601.07
22,George Chapman,briannasmith@example.net,Norfolk Island,2022-11-19,Standard,2205.4
23,Austin Johnson,chad34@example.net,Libyan Arab Jamahiriya,2024-07-08,Basic,799.57
24,Carlos Walls,esanchez@example.com,Comoros,2020-07-20,Basic,753.51
25,Matthew Gomez,uowens@example.org,Peru,2021-09-28,Basic,497.83
26,Maria Brown,lauren13@example.org,Comoros,2024-06-26,Premium,8080.47
27,Brenda White,ewright@example.com,Sri Lanka,2021-08-02,Standard,143.32
28,Krista Williams,novaksara@example.org,Chad,2022-09-06,Premium,7742.31
29,John Hancock,martinaaron@example.com,Estonia,2021-09-12,Premium,10051.24
30,Rachel Mitchell,smoore@example.org,Azerbaijan,2023-02-13,Standard,1063.2
31,Kimberly Adkins,williamsthomas@example.net,Cayman Islands,2023-06-19,Basic,509.05
32,Jordan York,larsonemma@example.org,Iraq,2022-05-11,Basic,342.64
33,Steve Sanchez,harveyrobert@example.net,Mongolia,2024-10-28,Standard,2145.78
34,Taylor Harris,john62@example.net,Oman,2024-10-23,Standard,103.69
35,Eugene Walton,smithchristine@example.net,Bolivia,2023-03-04,Standard,2101.87
36,Daniel Baker,nicole35@example.com,Cayman Islands,2020-02-12,Premium,6483.35
37,Joshua Turner,contrerasangela@example.net,Bosnia and Herzegovina,2024-01-17,Premium,3008.72
38,Brandy Wilson,newtoneric@example.com,Netherlands,2024-03-13,Standard,140.1
39,Grant Watts,william40@example.org,North Macedonia,2024-06-19,Standard,2234.59
40,Donald Smith,danagreen@example.net,Kenya,2021-12-10,Standard,2918.01
41,Jessica Smith,landryhannah@example.org,Mayotte,2023-12-25,Standard,1503.82
42,Jacob Tran,tanderson@example.com,United Arab Emirates,2024-06-02,Basic,650.25
43,Valerie Williams,jason31@example.com,Slovakia (Slovak Republic),2022-04-09,Basic,457.82
44,Shelly Dickson,sarayoung@example.org,South Georgia and the South Sandwich Islands,2020-05-08,Standard,2780.47
45,Sierra Johnson,kimberly63@example.com,Cayman Islands,2020-06-18,Basic,768.08
46,Ashley Brennan,dwalker@example.com,Gambia,2021-12-25,Basic,176.55
47,Shelby Walker,raymondramirez@example.org,Sierra Leone,2021-06-28,Standard,1621.81
48,Martin Ross,sheila14@example.org,Mozambique,2020-07-11,Standard,2731.02
49,Deborah Rodriguez,yreed@example.com,Jordan,2022-03-02,Standard,2420.46
50,Kayla Cruz,jonathanfletcher@example.org,Mali,2021-07-22,Premium,2953.36
51,Kimberly Ball,michaeljones@example.net,Uruguay,2023-06-14,Premium,8576.89
52,Erik Charles,william65@example.com,Qatar,2023-09-24,Premium,3037.75
53,Cameron Fisher,lbyrd@example.net,Montenegro,2020-01-17,Basic,571
54,Joshua Smith,jason99@example.net,Gibraltar,2023-08-04,Standard,1594.76
55,Jeremy Lewis,yleon@example.net,Chile,2024-11-28,Basic,105.84
56,Diane Beck,clarence34@example.org,Sri Lanka,2021-02-15,Basic,765.8
57,Alexander Sanchez,xcarr@example.org,Korea,2020-08-25,Standard,2446.8
58,Mark Lee,psnyder@example.org,Palau,2023-04-13,Standard,2121.21
59,Stephanie Dalton,osbornejeffery@example.net,Maldives,2024-06-21,Premium,2856.12
60,Justin Lowery,bryantlaurie@example.net,Marshall Islands,2024-02-24,Premium,7705.78
61,Linda Dodson DVM,jrivas@example.com,Ukraine,2023-04-18,Standard,399.83
62,Scott Cole,maryramirez@example.net,Libyan Arab Jamahiriya,2023-05-03,Standard,534.88
63,Denise Jones,jimmy55@example.net,Belgium,2022-09-15,Standard,2619.25
64,David Benson,calebrussell@example.net,Lao People's Democratic Republic,2023-03-04,Basic,528.33
65,Daniel Fisher,gateskathy@example.com,Lesotho,2023-10-05,Standard,2914.26
66,Guy Molina,vmedina@example.net,South Georgia and the South Sandwich Islands,2020-03-07,Standard,504.57
67,Connie Robinson,ytucker@example.com,Paraguay,2021-12-18,Standard,2927.41
68,Jennifer Martin,ncalhoun@example.net,Anguilla,2021-02-28,Standard,2336
69,Leslie Alvarado,dayderek@example.com,Cocos (Keeling) Islands,2022-02-09,Premium,12195.99
70,James Lewis,matthew64@example.com,El Salvador,2024-09-07,Standard,1990.03
71,Julie Curry,cookemichael@example.net,Bangladesh,2020-06-23,Standard,1047.96
72,Marissa Webster,jamessmith@example.org,Dominican Republic,2021-06-03,Standard,2847.09
73,Michael Elliott,stevenscott@example.com,Chad,2022-06-11,Basic,287.59
74,Tracey Higgins,tamirodriguez@example.org,Vanuatu,2024-04-21,Standard,1182.48
75,Michael Rubio,mdavid@example.org,Nauru,2022-03-10,Premium,5228.89
76,Lori Garcia,melissa91@example.net,Slovenia,2021-06-27,Standard,2595.94
77,Joseph Stanley,huntermatthew@example.com,Swaziland,2022-03-09,Standard,1364.55
78,Jeffrey Cox PhD,bzimmerman@example.org,Saint Martin,2020-01-20,Standard,2834.24
79,Marie Gilbert,umarshall@example.net,Ethiopia,2020-08-26,Standard,1406.29
80,David Michael,nicole37@example.net,New Zealand,2022-09-18,Basic,249.9
81,Gabrielle Snyder,hunter35@example.com,Guam,2020-02-03,Standard,751.01
82,Kyle Beard,blackjames@example.org,Saint Helena,2020-05-15,Standard,362.33
83,Justin Allen,fbrewer@example.com,Somalia,2020-03-31,Basic,130.81
84,Edward Sullivan,kevinperkins@example.com,Micronesia,2020-08-19,Premium,4879.43
85,Jessica Reese,michael74@example.com,El Salvador,2021-06-16,Premium,14277.09
86,Nathan Stewart,jamesrodgers@example.com,Saint Kitts and Nevis,2020-01-21,Premium,2295.38
87,Paige Carlson,wallkenneth@example.com,Christmas Island,2021-06-02,Basic,703.62
88,Michael Martinez,mccannangela@example.net,Western Sahara,2021-12-01,Standard,409.05
89,Sean Henry,andrewstaylor@example.com,Guam,2022-06-15,Premium,12749.36
90,Anthony Everett,ewilson@example.com,Liechtenstein,2022-06-02,Standard,1715.19
91,Mark Brown,lisaavery@example.org,Egypt,2021-04-26,Premium,11164.89
92,Phillip Obrien,kimberlyjames@example.com,French Southern Territories,2021-01-19,Standard,2075.89
93,Wanda Torres,lynchjody@example.org,Niue,2023-06-16,Standard,234.26
94,Matthew Moore,andreamoore@example.com,Korea,2021-10-23,Standard,122.81
95,Julie Johnson,jasmine71@example.net,Djibouti,2021-11-29,Standard,1032.52
96,Rachel Weber,ronaldstephens@example.net,Canada,2024-02-16,Standard,499.53
97,Samantha Jones,lauralarson@example.net,Uruguay,2023-05-10,Standard,2770.42
